Lambda,Idark(DI Lamp Off),Iblank (DI Lamp On),"Ikn (Nitrate = 45, Salinity = 33.885)","Izn (Zero Nitrate, Salinity= 36.052)","Ich (DI Water,  Salinity = 0 ,Nitrate = 45)","Its (Tank Water, first week sampled)", A(zn),A(kn),ESW(T1ZNTcal),ASW(T1ZNTis),ASW(T2KNTcal),ESW(T1ZNTis),ASE(TcalZN),,,,,,,,,S1(ZNcal),S2(KNcal),S(TS),T1(ZNcal),T2(KNcal),T(TS),S(Norm),Known NO3-
237.62,2638,28893.875,26883.75,27697,27379.875,26129.375,0.02026276,0.034590873,0.000959472,,,,,,,,,,,,,,,,,,,,
238.163,2711.375,28570.625,26611.25,27369,27072.25,25922.875,0.020664681,0.034220295,0.000949193,,,,,,,,,,,,,,,,,,,,
238.706,2713,28191.25,26257.625,27000.875,26704,25612.125,0.020780076,0.034277817,0.000950788,,,,,,,,,,,,,,,,,,,,
239.249,2686.375,27721.5,25866.25,26551.75,26353.75,25247.25,0.020781501,0.033438675,0.000927512,,,,,,,,,,,,,,,,,,,,
239.792,2663.125,27245.75,25511.75,26103.375,25943.875,24874.375,0.020666017,0.031768186,0.000881177,,,,,,,,,,,,,,,,,,,,
240.335,2656.25,26825,25111.875,25721.875,25534.375,24521.25,0.020288962,0.031929042,0.000885639,,,,,,,,,,,,,,,,,,,,
240.878,2620.5,26401.375,24731.25,25298.75,25135,24146.25,0.020618292,0.031624356,0.000877187,,,,,,,,,,,,,,,,,,,,
241.421,2699,26085.875,24491.625,25033,24882.375,23904.25,0.020005683,0.030662649,0.000850512,,,,,,,,,,,,,,,,,,,,
241.964,2618,25653.125,24080.625,24568.5,24446.875,23506.75,0.020946156,0.030707736,0.000851762,,,,,,,,,,,,,,,,,,,,
242.507,2664.125,25324.5,23800.375,24286.875,24157.875,23284.875,0.020356166,0.030239155,0.000838765,,,,,,,,,,,,,,,,,,,,
243.05,2671,24950.375,23475.375,23937.5,23839.375,22950,0.020206983,0.02974833,0.000825151,,,,,,,,,,,,,,,,,,,,
243.593,2646.875,24633,23189.875,23648.25,23562,22638.125,0.019900963,0.029484827,0.000817842,,,,,,,,,,,,,,,,,,,,
244.136,3396.75,25069.125,23672.375,24099.5,23986.5,23171.625,0.019878469,0.028932256,0.000802515,,,,,,,,,,,,,,,,,,,,
244.679,2856.5,24148.125,22750.5,23163.5,23083.125,22257.625,0.02056304,0.029486695,0.000817893,,,,,,,,,,,,,,,,,,,,
245.222,2604.625,23600.375,22265.625,22660.25,22599.875,21792.125,0.019895192,0.02852579,0.00079124,,,,,,,,,,,,,,,,,,,,
245.765,2665,23352.375,22039.5,22390,22331.375,21529.25,0.020688375,0.028474884,0.000789828,,,,,,,,,,,,,,,,,,,,
246.308,2642.625,22998.5,21698.25,22073.375,22050.25,21252.75,0.020200211,0.028666578,0.000795145,,,,,,,,,,,,,,,,,,,,
246.851,2687,22823.5,21547.25,21891.125,21838.75,21084.625,0.020589462,0.028436541,0.000788765,,,,,,,,,,,,,,,,,,,,
247.394,2608.375,22571.75,21364.875,21682.125,21624,20896.125,0.019797879,0.027082163,0.000751197,,,,,,,,,,,,,,,,,,,,
247.937,2710,22489.875,21289.5,21611.375,21583.25,20872.875,0.019730144,0.02718952,0.000754175,,,,,,,,,,,,,,,,,,,,
248.48,2606.5,22454.875,21241.875,21551.5,21508.625,20794.75,0.020230347,0.02738682,0.000759648,,,,,,,,,,,,,,,,,,,,
249.023,2666.125,22640.75,21437.125,21789.25,21722.5,20949.625,0.018919771,0.026991225,0.000748675,,,,,,,,,,,,,,,,,,,,
249.566,2675,22748.125,21545.875,21915.5,21808.125,21090.375,0.018398635,0.026822951,0.000744007,,,,,,,,,,,,,,,,,,,,
250.109,2803.25,23197.125,21983.625,22302.875,22246.25,21539.125,0.019473494,0.026642659,0.000739006,,,,,,,,,,,,,,,,,,,,
250.652,2718.5,23516.25,22233.5,22645.625,22579.875,21748,0.018571708,0.027647798,0.000766887,,,,,,,,,,,,,,,,,,,,
251.195,2648.5,23876.375,22597.375,22966.125,22843.5,22067.5,0.019033581,0.026988113,0.000748588,,,,,,,,,,,,,,,,,,,,
251.738,2614.125,24264.5,22992.25,23327,23264.75,22450.75,0.019225039,0.026301201,0.000729535,,,,,,,,,,,,,,,,,,,,
252.281,2689.25,24763.375,23420.875,23795.5,23698.5,22889.25,0.01947242,0.027250153,0.000755857,,,,,,,,,,,,,,,,,,,,
252.824,4266.25,26737.375,25387.625,25765,25678.25,24823.25,0.019211606,0.026902628,0.000746217,,,,,,,,,,,,,,,,,,,,
253.367,2675.625,25303,23959.625,24350.875,24224.625,23391.625,0.018670059,0.026580924,0.000737294,,,,,,,,,,,,,,,,,,,,
253.91,2617,25317.375,23961.25,24309.375,24249.375,23390.625,0.019725928,0.026752133,0.000742043,,,,,,,,,,,,,,,,,,,,
254.453,2669.25,25341.625,24026,24377.625,24268.625,23431.125,0.018869701,0.025961852,0.000720122,,,,,,,,,,,,,,,,,,,,
254.996,2627.125,25096.625,23794.625,24151,24016.625,23221.5,0.018672947,0.02592384,0.000719068,,,,,,,,,,,,,,,,,,,,
255.539,2672,24986,23703.375,24054.5,23902.625,23087.5,0.018518948,0.025709762,0.00071313,,,,,,,,,,,,,,,,,,,,
256.082,2600.5,24825.875,23568.125,23883.125,23757.875,22902.5,0.018823905,0.025299857,0.00070176,,,,,,,,,,,,,,,,,,,,
256.625,2664.375,24858.125,23624.375,23953.5,23832.625,22995.25,0.018072878,0.024839411,0.000688988,,,,,,,,,,,,,,,,,,,,
257.168,2675.75,25048.125,23777,24136,23989.375,23142.375,0.018077313,0.025403907,0.000704646,,,,,,,,,,,,,,,,,,,,
257.711,2653.25,25356.375,24088.375,24475.875,24337,23382.625,0.017178651,0.02495962,0.000692323,,,,,,,,,,,,,,,,,,,,
258.254,2614.875,25740.75,24416.375,24788.25,24632.375,23695.875,0.018266372,0.025611799,0.000710413,,,,,,,,,,,,,,,,,,,,
258.797,2888.875,26341.375,25033.375,25373.875,25241.625,24269.625,0.018296253,0.024923266,0.000691314,,,,,,,,,,,,,,,,,,,,
259.34,2578.5,26497.375,25127.375,25526.125,25368.625,24355.75,0.018003005,0.02561587,0.000710526,,,,,,,,,,,,,,,,,,,,
259.883,2643.25,26730.375,25347.625,25748.25,25601.75,24562.375,0.018078994,0.025675415,0.000712177,,,,,,,,,,,,,,,,,,,,
260.426,2599.125,26706,25364.5,25724.75,25576.625,24549.25,0.018047437,0.024866107,0.000689729,,,,,,,,,,,,,,,,,,,,
260.969,2667.625,26636.75,25321.75,25682.75,25517.25,24496.625,0.017638842,0.024504888,0.00067971,,,,,,,,,,,,,,,,,,,,
261.512,2571,26253.125,24943.875,25310.75,25151.625,24123.125,0.017634983,0.024698873,0.00068509,,,,,,,,,,,,,,,,,,,,
262.055,2665,25933,24619,25014.625,24855.25,23807,0.017488815,0.025245395,0.00070025,,,,,,,,,,,,,,,,,,,,
262.598,2575.25,25321,24035.25,24377,24211.75,23232.25,0.018408906,0.025270544,0.000700947,,,,,,,,,,,,,,,,,,,,
263.141,2679.125,24779.75,23544.875,23881,23736.75,22756.125,0.018030286,0.024970556,0.000692626,,,,,,,,,,,,,,,,,,,,
263.684,2721.5,24118.625,22967.5,23295.125,23150.25,22179.75,0.017044604,0.024016191,0.000666154,,,,,,,,,,,,,,,,,,,,
264.227,2642.75,23373,22267.875,22566.875,22412.125,21491.125,0.017225282,0.023792108,0.000659939,,,,,,,,,,,,,,,,,,,,
